Statistical profiling result from isolate-0x105800000-5647-v8.log, (40014 ticks, 2833 unaccounted, 0 excluded).

 [Shared libraries]:
   ticks  total  nonlib   name
     19    0.0%    0.0%  LazyCompile: *_storeHeader _http_outgoing.js:344:22
     19    0.0%    0.0%  LazyCompile: *<anonymous> /Users/jinwei/www/nodejs/JavaScript/nodejs/action.geektime/03.actions/4.list/node_modules/easy_sock/lib/easy_sock.js:224:24
     18    0.0%    0.0%  LazyCompile: *data /Users/jinwei/www/nodejs/JavaScript/nodejs/action.geektime/03.actions/4.list/node/get-data.js:6:34
     17    0.0%    0.0%  LazyCompile: *set type /Users/jinwei/www/nodejs/JavaScript/nodejs/action.geektime/03.actions/4.list/node_modules/koa/lib/response.js:307:11
     17    0.0%    0.0%  LazyCompile: *first /Users/jinwei/www/nodejs/JavaScript/nodejs/action.geektime/03.actions/4.list/node_modules/ee-first/index.js:24:15
     16    0.0%    0.0%  LazyCompile: *handleRequest /Users/jinwei/www/nodejs/JavaScript/nodejs/action.geektime/03.actions/4.list/node_modules/koa/lib/application.js:146:27
     16    0.0%    0.0%  LazyCompile: *doWrite _stream_writable.js:451:17
     16    0.0%    0.0%  LazyCompile: *Socket._final net.js:396:35
     16    0.0%    0.0%  LazyCompile: *<anonymous> internal/console/constructor.js:202:10
     15    0.0%    0.0%  LazyCompile: *once events.js:321:44
     15    0.0%    0.0%  LazyCompile: *getColorDepth internal/tty.js:94:23
     15    0.0%    0.0%  LazyCompile: *formatWithOptions internal/util/inspect.js:1623:27
     15    0.0%    0.0%  LazyCompile: *escape /Users/jinwei/www/nodejs/JavaScript/nodejs/action.geektime/03.actions/4.list/node_modules/react/cjs/react.development.js:1047:16
     15    0.0%    0.0%  LazyCompile: *Readable.read _stream_readable.js:424:35
     15    0.0%    0.0%  LazyCompile: *<anonymous> buffer.js:332:36
     14    0.0%    0.0%  RegExp: \u001b\[\d\d?m
     14    0.0%    0.0%  RegExp: [^\t\x20-\x7e\x80-\xff]
     14    0.0%    0.0%  LazyCompile: *processPromiseRejections internal/process/promises.js:165:34
     14    0.0%    0.0%  LazyCompile: *onSocket /Users/jinwei/www/nodejs/JavaScript/nodejs/action.geektime/03.actions/4.list/node_modules/on-finished/index.js:106:20
     14    0.0%    0.0%  LazyCompile: *matchKnownFields _http_incoming.js:158:26
     14    0.0%    0.0%  LazyCompile: *get _stream_duplex.js:155:6
     14    0.0%    0.0%  LazyCompile: *escapeTextForBrowser /Users/jinwei/www/nodejs/JavaScript/nodejs/action.geektime/03.actions/4.list/node_modules/react-dom/cjs/react-dom-server.node.development.js:991:30
     14    0.0%    0.0%  LazyCompile: *<anonymous> internal/util/debuglog.js:57:18
     13    0.0%    0.0%  LazyCompile: *cleanup /Users/jinwei/www/nodejs/JavaScript/nodejs/action.geektime/03.actions/4.list/node_modules/ee-first/index.js:58:19
     13    0.0%    0.0%  LazyCompile: *Writable.write _stream_writable.js:292:36
     13    0.0%    0.0%  LazyCompile: *<anonymous> /Users/jinwei/www/nodejs/JavaScript/nodejs/action.geektime/03.actions/4.list/node_modules/react/cjs/react.development.js:1361:65
     12    0.0%    0.0%  LazyCompile: *parserOnMessageComplete _http_common.js:132:33
     12    0.0%    0.0%  LazyCompile: *handleResponse /Users/jinwei/www/nodejs/JavaScript/nodejs/action.geektime/03.actions/4.list/node_modules/koa/lib/application.js:164:28
     11    0.0%    0.0%  LazyCompile: *resOnFinish _http_server.js:635:21
     11    0.0%    0.0%  LazyCompile: *get writable /Users/jinwei/www/nodejs/JavaScript/nodejs/action.geektime/03.actions/4.list/node_modules/koa/lib/response.js:521:15
     11    0.0%    0.0%  LazyCompile: *_addListener events.js:230:22
     10    0.0%    0.0%  RegExp: ^[\^_`a-zA-Z\-0-9!#$%&'*+.|~]+$
